Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00E+00,2.88E+00
3.69E-03,2.88E+00
6.29E-03,2.88E+00
8.90E-03,2.88E+00
1.15E-02,2.88E+00
1.41E-02,2.88E+00
1.70E-02,2.88E+00
1.99E-02,2.88E+00
2.27E-02,2.88E+00
2.56E-02,2.88E+00
2.85E-02,2.88E+00
3.14E-02,2.88E+00
3.42E-02,2.88E+00
3.71E-02,2.88E+00
4.00E-02,2.88E+00
4.29E-02,2.88E+00
4.57E-02,2.88E+00
4.87E-02,2.88E+00
5.16E-02,2.88E+00
5.46E-02,2.88E+00
5.76E-02,2.88E+00
6.05E-02,2.88E+00
6.35E-02,2.88E+00
6.65E-02,2.88E+00
6.94E-02,2.88E+00
7.24E-02,2.88E+00
7.53E-02,2.88E+00
7.83E-02,2.88E+00
8.13E-02,2.88E+00
8.42E-02,2.88E+00
8.72E-02,2.88E+00
9.02E-02,2.88E+00
9.31E-02,2.88E+00
9.61E-02,2.88E+00
9.90E-02,2.88E+00
1.02E-01,2.88E+00
1.05E-01,2.88E+00
,
,
[Name],
Chart Line 2,
,
[Data],
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00E+00,2.88E+00
3.69E-03,2.88E+00
6.29E-03,2.88E+00
8.90E-03,2.88E+00
1.15E-02,2.88E+00
1.41E-02,2.88E+00
1.70E-02,2.88E+00
1.99E-02,2.88E+00
2.27E-02,2.88E+00
2.56E-02,2.88E+00
2.85E-02,2.88E+00
3.14E-02,2.88E+00
3.42E-02,2.88E+00
3.71E-02,2.88E+00
4.00E-02,2.88E+00
4.29E-02,2.88E+00
4.57E-02,2.88E+00
4.87E-02,2.88E+00
5.16E-02,2.88E+00
5.46E-02,2.88E+00
5.76E-02,2.88E+00
6.05E-02,2.88E+00
6.35E-02,2.88E+00
6.65E-02,2.88E+00
6.94E-02,2.88E+00
7.24E-02,2.88E+00
7.53E-02,2.88E+00
7.83E-02,2.88E+00
8.13E-02,2.88E+00
8.42E-02,2.88E+00
8.72E-02,2.88E+00
9.02E-02,2.88E+00
9.31E-02,2.88E+00
9.61E-02,2.88E+00
9.90E-02,2.88E+00
1.02E-01,2.88E+00
1.05E-01,2.88E+00
,
,
[Name],
Chart Line 3,
,
[Data],
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00E+00,2.88E+00
3.69E-03,2.88E+00
6.29E-03,2.88E+00
8.90E-03,2.88E+00
1.15E-02,2.88E+00
1.41E-02,2.88E+00
1.70E-02,2.88E+00
1.99E-02,2.88E+00
2.27E-02,2.88E+00
2.56E-02,2.88E+00
2.85E-02,2.88E+00
3.14E-02,2.88E+00
3.42E-02,2.88E+00
3.71E-02,2.88E+00
4.00E-02,2.88E+00
4.29E-02,2.88E+00
4.57E-02,2.88E+00
4.87E-02,2.88E+00
5.16E-02,2.88E+00
5.46E-02,2.88E+00
5.76E-02,2.88E+00
6.05E-02,2.88E+00
6.35E-02,2.88E+00
6.65E-02,2.88E+00
6.94E-02,2.88E+00
7.24E-02,2.88E+00
7.53E-02,2.88E+00
7.83E-02,2.88E+00
8.13E-02,2.88E+00
8.42E-02,2.88E+00
8.72E-02,2.88E+00
9.02E-02,2.88E+00
9.31E-02,2.88E+00
9.61E-02,2.88E+00
9.90E-02,2.88E+00
1.02E-01,2.88E+00
1.05E-01,2.88E+00
,
,
[Name],
Chart Line 4,
,
[Data],
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00E+00,2.88E+00
3.69E-03,2.88E+00
6.29E-03,2.88E+00
8.90E-03,2.88E+00
1.15E-02,2.88E+00
1.41E-02,2.88E+00
1.70E-02,2.88E+00
1.99E-02,2.88E+00
2.27E-02,2.88E+00
2.56E-02,2.88E+00
2.85E-02,2.88E+00
3.14E-02,2.88E+00
3.42E-02,2.88E+00
3.71E-02,2.88E+00
4.00E-02,2.88E+00
4.29E-02,2.88E+00
4.57E-02,2.88E+00
4.87E-02,2.88E+00
5.16E-02,2.88E+00
5.46E-02,2.88E+00
5.76E-02,2.88E+00
6.05E-02,2.88E+00
6.35E-02,2.88E+00
6.65E-02,2.88E+00
6.94E-02,2.88E+00
7.24E-02,2.88E+00
7.53E-02,2.88E+00
7.83E-02,2.88E+00
8.13E-02,2.88E+00
8.42E-02,2.88E+00
8.72E-02,2.88E+00
9.02E-02,2.88E+00
9.31E-02,2.88E+00
9.61E-02,2.88E+00
9.90E-02,2.88E+00
1.02E-01,2.88E+00
1.05E-01,2.88E+00
,
,
[Name],
Chart Line 5,
,
[Data],
Curve Length on Polyline 1 [ m ],THICKNESS [ mm ]
0.00E+00,2.88E+00
3.69E-03,2.88E+00
6.29E-03,2.88E+00
8.90E-03,2.88E+00
1.15E-02,2.88E+00
1.41E-02,2.88E+00
1.70E-02,2.88E+00
1.99E-02,2.88E+00
2.27E-02,2.88E+00
2.56E-02,2.88E+00
2.85E-02,2.88E+00
3.14E-02,2.88E+00
3.42E-02,2.88E+00
3.71E-02,2.88E+00
4.00E-02,2.88E+00
4.29E-02,2.88E+00
4.57E-02,2.88E+00
4.87E-02,2.88E+00
5.16E-02,2.88E+00
5.46E-02,2.88E+00
5.76E-02,2.88E+00
6.05E-02,2.88E+00
6.35E-02,2.88E+00
6.65E-02,2.88E+00
6.94E-02,2.88E+00
7.24E-02,2.88E+00
7.53E-02,2.88E+00
7.83E-02,2.88E+00
8.13E-02,2.88E+00
8.42E-02,2.88E+00
8.72E-02,2.88E+00
9.02E-02,2.88E+00
9.31E-02,2.88E+00
9.61E-02,2.88E+00
9.90E-02,2.88E+00
1.02E-01,2.88E+00
1.05E-01,2.88E+00
